2016-12-22 22:18:34,297 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B cleancompilebuild
2016-12-22 22:18:53,441 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2016-12-22 22:18:53,526 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Shopping Cart New Project\NewShoppingCart
2016-12-22 22:18:53,526 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B cleancompilebuild
2016-12-22 22:19:16,997 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Shopping Cart New Project\NewShoppingCart
2016-12-22 22:19:16,998 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2016-12-22 22:19:28,774 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2016-12-22 22:19:28,844 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Shopping Cart New Project\NewShoppingCart
2016-12-22 22:19:28,844 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B cleancompilebuild
2016-12-22 22:19:40,340 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-12-22 22:19:43,670 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Shopping Cart New Project\NewShoppingCart
2016-12-22 22:19:43,671 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2016-12-22 22:20:16,384 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-12-22 22:20:29,574 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Shopping Cart New Project\NewShoppingCart
2016-12-22 22:20:29,574 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2016-12-22 22:21:42,421 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-22 22:21:42,427 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-22 22:21:42,429 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-22 22:21:42,430 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Shopping Cart New Project\NewShoppingCart\src\test\resources
2016-12-22 22:22:00,498 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-12-22 22:22:13,446 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Shopping Cart New Project\NewShoppingCart
2016-12-22 22:22:13,446 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2016-12-22 22:23:11,032 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-22 22:23:11,034 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-12-22 22:23:11,036 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-22 22:23:11,037 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Shopping Cart New Project\NewShoppingCart\src\test\resources
2016-12-22 22:23:14,255 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-22 22:23:14,257 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
